year,occ_desc,sex1,mthly_gross_wage_50_pctile,mthly_basic_wage_50_pctile
2021,managing director/chief executive officer,all,10000,10000
2021,company director,all,7000,6000
2021,chief operating officer/general manager,all,11998,11565
2021,budgeting and financial accounting manager (including financial controller),all,8450,8000
2021,administration manager,all,6207,6000
2021,audit manager,all,11678,11291
2021,human resource manager,all,8150,7500
2021,policy manager,all,9333,8297
2021,strategic planning manager,all,12430,11882
2021,risk management manager,all,13338,12867
2021,premises and facilities maintenance manager (excluding building security manager),all,6224,5900
2021,cleaning operations manager,all,5000,4365
2021,security manager,all,6003,5811
2021,sales manager,all,8000,6937
2021,business development manager,all,9083,8400
2021,regional sales manager,all,12142,11168
2021,merchandising/category manager,all,7862,7650
2021,advertising/public relations manager,all,7062,6708
2021,marketing manager,all,9350,8327
2021,research and development manager,all,9686,9143
2021,customer service manager,all,6762,6400
2021,call centre manager,all,5972,5937
2021,manufacturing manager,all,7870,7153
2021,construction manager,all,6510,6150
2021,supply and distribution/logistics/warehousing manager,all,6850,6288
2021,procurement/purchasing manager,all,7754,7197
2021,transport/technical operations manager (except port/shipping operations),all,6402,6090
2021,postal service manager,all,7507,6695
2021,port/shipping operations manager,all,7000,6628
2021,technical/engineering services manager (excluding transport),all,8150,7782
2021,quality control/assurance manager,all,7666,7244
2021,chief information officer/chief technology officer/chief security officer,all,14191,13408
2021,software and applications manager,all,9250,8985
2021,"network, communications and infrastructure manager",all,7779,7400
2021,ict service manager,all,9754,9374
2021,pre-school education manager,all,4802,4750
2021,health services manager,all,7579,7116
2021,community and social service manager,all,4746,4574
2021,education and training institution manager,all,6240,6060
2021,financial services manager,all,10308,9870
2021,insurance services manager,all,10000,9751
2021,financial risk manager,all,12750,12531
2021,"community, partnership and relations manager",all,6035,5955
2021,hotel operations/lodging services manager,all,4472,4200
2021,restaurant manager,all,3380,3200
2021,food and beverage operations manager,all,3598,3100
2021,retail manager,all,4863,3960
2021,wholesale trade manager,all,7531,7220
2021,recreation centre manager,all,4350,3650
2021,wellness centre manager (e.g. hair/beauty/slimming/spa/manicure/massage),all,4099,3000
2021,event manager,all,5451,5244
2021,travel agency manager,all,4824,4824
2021,chemist,all,5619,4975
2021,operations research analyst,all,5791,5576
2021,actuary,all,6642,6051
2021,data scientist,all,8110,7813
2021,statistical officer/data analyst,all,5446,5289
2021,"biologist, botanist, zoologist and related professional",all,6263,4848
2021,biologist,all,5513,5138
2021,medical laboratory scientist,all,4828,4316
2021,clinical research professional,all,4990,4776
2021,industrial and production engineer,all,5615,5000
2021,civil engineer,all,5362,5192
2021,mechanical engineer (excluding transport and vehicle engineer),all,5175,4625
2021,chemical engineer (excluding petroleum and petrochemicals),all,5745,4785
2021,food and drink technologist,all,3989,3800
2021,transport and vehicle engineer,all,5400,5116
2021,biomedical engineer,all,4995,4867
2021,materials engineer,all,5845,5728
2021,industrial safety engineer,all,6335,6000
2021,quantity surveyor,all,4900,4700
2021,optical engineer (including laser engineer),all,6261,6020
2021,procurement engineer,all,5250,5017
2021,electrical engineer,all,4896,4350
2021,electronics engineer,all,5447,5100
2021,telecommunications engineer,all,5289,4604
2021,building architect,all,5660,5500
2021,product and industrial designer,all,4337,3950
2021,urban and related planner,all,6016,5586
2021,land surveyor,all,6065,5525
2021,hydrographic surveyor,all,4500,4425
2021,graphic and multimedia designer and artist,all,4185,3900
2021,graphic designer,all,3318,3110
2021,interaction designer,all,6380,5976
2021,ship engineer and related professional,all,10125,9610
2021,marine superintendent (engineer),all,9850,9253
2021,general practitioner/physician,all,10211,8990
2021,cardiologist,all,17359,16385
2021,gastroenterologist,all,15906,15400
2021,paediatrician,all,8426,6735
2021,orthopaedic surgeon,all,9229,8361
2021,urologist,all,20000,19692
2021,specialist medical practitioner (other specialisations) - i,all,9206,8192
2021,anaesthesiologist,all,9737,8276
2021,"otorhinolaryngologist/ear, nose, throat (ent) specialist",all,8915,8228
2021,"registered nurse and other nursing professional (e.g. clinical nurse, nurse educator, excluding enrolled nurse)",all,4450,4308
2021,specialised dentist (e.g. orthodontist),all,5587,5235
2021,pharmacist,all,4282,4092
2021,occupational health and safety professional,all,5129,4962
2021,physiotherapist,all,4222,4189
2021,dietitian and nutritionist,all,4188,4188
2021,speech therapist,all,4038,3916
2021,optometrist,all,4954,4745
2021,occupational therapist,all,4040,3845
2021,medical diagnostic radiographer,all,5142,4791
2021,university lecturer,all,12811,12303
2021,technical/vocational/commercial education institute teacher and trainer,all,4153,3040
2021,special education teacher,all,3294,3060
2021,accountant (excluding tax accountant),all,4678,4486
2021,auditor (accounting),all,5038,4745
2021,tax accountant,all,7545,7365
2021,financial and investment adviser,all,5695,5500
2021,"financial analyst (e.g. equities analyst, credit analyst, investment research analyst)",all,6917,6503
2021,compliance officer/risk analyst (financial),all,6654,6428
2021,fund/portfolio manager (including asset allocator),all,11694,11284
2021,treasury manager,all,8202,7924
2021,securities and finance dealer,all,11670,10977
2021,"securities and finance dealer (excluding foreign exchange, financial derivatives and other finance dealer)",all,8370,7975
2021,foreign exchange dealer,all,12230,11000
2021,securities and finance broker,all,16986,16628
2021,insurance underwriter,all,6000,5846
2021,management and business consultant,all,7132,6899
2021,policy administration professional (e.g. policy analyst),all,4459,3658
2021,human resource consultant (excluding executive search consultant),all,6212,5922
2021,executive search consultant,all,5300,4500
2021,personnel/human resource officer,all,3900,3715
2021,training and staff development professional,all,4059,3960
2021,research officer (non-statistical),all,4539,4432
2021,creative advertising professional,all,5640,5600
2021,market research professional,all,6542,6110
2021,marketing strategy/planning professional,all,6200,5837
2021,"digital marketing professional (e.g. online, social media, e-commerce marketing professional)",all,4176,4000
2021,revenue specialist,all,4330,4330
2021,public relations/corporate communications professional,all,4100,3997
2021,technical sales professional,all,5808,4875
2021,medical and pharmaceutical products sales professional,all,6272,5652
2021,ict sales and services professional,all,9020,5931
2021,sales professional (institutional sales of financial products),all,5861,5350
2021,commodities and freight trader,all,10193,10030
2021,systems analyst,all,6370,6000
2021,"software, web and multimedia developer",all,6201,5880
2021,applications/systems programmer,all,5164,4988
2021,ict quality assurance specialist,all,5150,4900
2021,database designer and administrator,all,7941,7300
2021,database administrator,all,6559,6481
2021,"network, servers and computer systems administrator",all,5020,4897
2021,"computer network, infrastructure and platform professional",all,6031,6000
2021,cybersecurity professional,all,6825,6250
2021,data centre engineer,all,6800,6600
2021,advocate/solicitor (practising),all,12000,11200
2021,"in-house legal counsel (except judiciary, ministries and statutory boards)",all,13347,12529
2021,librarian,all,4172,4032
2021,social service professional,all,3883,3752
2021,counselling professional,all,4000,3876
2021,counsellor (family),all,3943,3850
2021,author and related writer,all,5020,4733
2021,editor (news and periodicals),all,7438,7169
2021,"film, stage and related director and producer",all,5000,4417
2021,"producer (stage, film, television, game, commercial, video and radio)",all,5029,4439
2021,assistant civil and structural engineer,all,3874,3833
2021,assistant electronics engineer,all,4764,3394
2021,assistant mechanical engineer,all,3894,2892
2021,assistant manufacturing engineer,all,3464,3191
2021,chemistry technician,all,5129,3688
2021,civil engineering technician,all,4400,4000
2021,electrical engineering technician,all,3749,2639
2021,electronics engineering technician,all,3412,2817
2021,mechanical engineering technician (excluding transport and vehicle engineering technician),all,3609,3118
2021,chemical engineering technician,all,5237,4833
2021,"chemical engineering technician (excluding petrochemicals, petroleum and natural gas)",all,3115,3100
2021,manufacturing engineering technician,all,3901,3165
2021,draughtsman,all,4205,4005
2021,transport and vehicle engineering technician,all,3664,3486
2021,clinical research coordinator,all,4601,4527
2021,"agronomy, horticultural and farming technician",all,3085,2950
2021,air transport service supervisor,all,3572,3323
2021,train service supervisor,all,4229,3600
2021,road transport supervisor,all,3783,2963
2021,port/shipping operations supervisor (including post-fixture and planner),all,3785,2977
2021,air cargo officer,all,2997,2870
2021,train operations officer,all,3187,2400
2021,road transport operations officer,all,3123,2433
2021,premises and facilities maintenance officer,all,3187,3000
2021,building and fire inspector,all,3400,3050
2021,"safety inspector (vehicles, processes and products)",all,3441,2882
2021,medical and pathology laboratory technician,all,3855,3284
2021,pharmacy technician,all,2896,2772
2021,enrolled/assistant nurse (excluding registered nurse),all,2875,2795
2021,community health worker,all,3831,3733
2021,optician,all,3426,3100
2021,environmental and occupational health inspector,all,3200,3150
2021,paramedic,all,3246,2681
2021,credit and loans officer,all,4431,4333
2021,assistant accountant,all,3420,3300
2021,audit associate professional,all,3430,3400
2021,tax associate professional,all,3305,3185
2021,valuer and loss assessor,all,4404,4290
2021,insurance sales agent/broker (including independent financial planner),all,4952,4510
2021,commercial and marketing sales executive,all,3943,3540
2021,business development executive,all,4266,4000
2021,after sales adviser/client account service executive,all,4116,3519
2021,marketing and sales executive (food & beverage services),all,2936,2300
2021,online sales channel executive,all,3796,3464
2021,merchandising/category executive,all,3500,3259
2021,buyer and purchasing agent,all,3928,3703
2021,clearing and forwarding agent,all,3760,3420
2021,shipping agent/boarding officer,all,3990,3750
2021,exhibition/conference/event planner (including wedding planner/coordinator),all,3640,3530
2021,real estate agent,all,4271,3940
2021,logistics and maintenance planner,all,4284,3959
2021,management executive,all,4285,4090
2021,operations officer (except transport operations),all,4052,3800
2021,transport equipment project executive,all,3421,3292
2021,legal associate professional (e.g. paralegal),all,7333,7102
2021,social work associate,all,2960,2699
2021,sports coach,all,4500,3980
2021,interior designer,all,4000,4000
2021,visual merchandiser,all,3078,2800
2021,chef,all,3601,3419
2021,computer systems operator,all,3775,3500
2021,it infrastructure technician,all,3749,3492
2021,it support technician (including it user helpdesk technician),all,2893,2742
2021,broadcasting technician and audio-visual operator,all,2864,2702
2021,pre-primary education teacher,all,2821,2781
2021,language instructor (extracurriculum),all,2740,2740
2021,music instructor (extracurriculum),all,2400,2229
2021,private tutor (academic),all,4750,4350
2021,office supervisor,all,3325,2853
2021,general office clerk,all,2500,2400
2021,secretary,all,4586,4500
2021,data entry clerk,all,2072,1842
2021,bank teller and other counter clerk,all,3142,2489
2021,bank teller,all,3489,2947
2021,travel consultant/reservation executive,all,2644,2610
2021,telephone operator,all,2593,2475
2021,"receptionist, customer service and information clerk",all,2842,2620
2021,accounting and bookkeeping clerk,all,2981,2840
2021,finance and insurance clerk,all,3792,3520
2021,stock clerk,all,2539,2300
2021,production clerk,all,2965,2635
2021,transport clerk,all,3262,2822
2021,library clerk,all,1666,1528
2021,mail carrier and sorting worker,all,2409,1985
2021,postal service supervisor,all,3135,2764
2021,legal clerk,all,4450,4300
2021,transport service inspector and related worker,all,3396,2348
2021,cook (e.g. commis cook 2/3),all,1700,1537
2021,"senior cook (e.g. station chef, commis cook 1, station cook)",all,2711,2487
2021,captain waiter/waiter supervisor,all,2384,2050
2021,waiter,all,1400,1400
2021,barista,all,1554,1459
2021,hair stylist/hairdresser,all,2431,1692
2021,beautician,all,2048,1772
2021,manicurist,all,2000,1500
2021,masseur (non-medical) (including foot reflexologist),all,2304,1806
2021,housekeeper and related worker,all,1842,1592
2021,"pet groomer, animal keeper and trainer",all,2302,2137
2021,driving instructor/tester,all,3184,2748
2021,sales supervisor,all,3000,2448
2021,shop sales assistant,all,2000,1675
2021,cashier,all,1775,1598
2021,sales demonstrator,all,2424,1738
2021,salesperson (door-to-door),all,1641,1641
2021,petrol station attendant,all,1756,1608
2021,food service counter attendant,all,1743,1400
2021,child care and related worker,all,2020,2000
2021,teacher aide,all,2829,2800
2021,healthcare assistant (e.g. therapy aide/assistant),all,1980,1935
2021,nursing aide/assistant,all,2440,2200
2021,senior security supervisor,all,3418,2838
2021,security supervisor,all,3020,2140
2021,senior private security officer,all,2737,1650
2021,private security officer,all,2388,1500
2021,gardener and horticultural worker,all,1500,1450
2021,supervisor/general foreman (building and related trades),all,3295,3000
2021,plumber,all,1925,1800
2021,pipe fitter,all,1400,1400
2021,air-conditioning/refrigeration equipment mechanic,all,2676,2420
2021,"spray painter, varnisher and other painter",all,1842,1842
2021,building maintenance worker,all,2195,2023
2021,"supervisor/general foreman (metal, machinery and related trades)",all,3695,3000
2021,welder and flame cutter,all,2620,2170
2021,automotive mechanic,all,3825,2646
2021,machinery mechanic,all,2370,2055
2021,"supervisor/general foreman (precision, handicraft, printing and related trades)",all,3894,3500
2021,medical device assembler/repairer,all,2957,1944
2021,lift supervisor,all,4610,3252
2021,"supervisor/general foreman (electrical and electronic trades, excluding lift)",all,3950,3080
2021,electrician,all,2557,2384
2021,electrical mechanic and fitter,all,2896,2148
2021,"supervisor/general foreman (food processing, woodworking, garment, leather and related trades)",all,3007,2734
2021,"baker, pastry and confectionery maker",all,1800,1555
2021,fumigator and other pest and weed controller,all,1941,1700
2021,stationary plant and machine supervisor/general foreman,all,3112,2412
2021,machine-tool setter-operator,all,2560,1866
2021,pharmaceutical products machine operator,all,2646,2024
2021,plastic products machine operator,all,1500,1300
2021,"laundry and dry cleaning worker (machine, non-household)",all,1726,1415
2021,food and related products machine operator,all,1550,1465
2021,packing/bottling/labelling machine operator,all,1424,1424
2021,"printing, binding and related machine operator",all,1676,1574
2021,supervisor/general foreman of assembler and quality checker,all,3330,3000
2021,mechanical equipment/component assembler,all,1653,1122
2021,electrical and electronic equipment assembler,all,2273,1759
2021,quality checker and tester,all,2487,2033
2021,motorcycle delivery man,all,2345,2129
2021,delivery man using motorised personal mobility aids/devices,all,1800,1800
2021,"car, taxi, van and light goods vehicle driver",all,2200,1944
2021,chauffeur,all,2602,2395
2021,van driver,all,2146,1950
2021,bus driver,all,4001,2488
2021,lorry driver,all,2400,2000
2021,trailer-truck driver (including prime mover driver),all,3051,2022
2021,waste truck driver (including hooklift trucks with roll-on containers),all,3334,1900
2021,crane/hoist operator (excluding port),all,5270,2800
2021,crane operator (on-site),all,3910,2572
2021,fork lift truck operator,all,2062,1900
2021,ships' deck crew and related worker,all,2723,1952
2021,cleaning supervisor,all,2195,1825
2021,cleaner and helper in hotels and related establishments,all,1905,1745
2021,"office, commercial and industrial establishments indoor cleaner",all,1430,1400
2021,"office, commercial and industrial establishments outdoor cleaner",all,1600,1450
2021,"office, commercial and industrial establishments multi-skilled cleaner cum machine operator",all,1500,1400
2021,food and beverage establishments general cleaner,all,1400,1400
2021,dishwasher,all,1442,1442
2021,residential and open areas general cleaner,all,1450,1236
2021,"park, garden and landscape maintenance worker",all,1500,1450
2021,civil engineering/building construction labourer,all,1400,1400
2021,hand packer,all,1450,1400
2021,aircraft loader (e.g. airport baggage/cargo handler),all,2000,1701
2021,warehouse worker,all,2281,1997
2021,vehicle attendant,all,1700,1523
2021,mover,all,1814,1775
2021,kitchen assistant,all,1400,1400
2021,food/drink stall assistant,all,1400,1400
2021,"tea server/steward (excluding bartender, barista and food/drink stall assistant)",all,1400,1400
2021,"general waste collection, recycling and material recovery worker",all,1813,1400
2021,porter and related worker,all,1718,1611
2021,attendant,all,1815,1675
2021,hospital/clinic attendant,all,2037,1772
2021,car park attendant,all,1435,1435
2021,building caretaker/watchman,all,2068,2036
2021,odd job person,all,1400,1400
